GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.20.new AsyncCallback.DataCallback() {...},38,0,2,0,6,0,3,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ExponentialBackoffRetryPolicy,40,0,2,0,7,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.Builder,188,0,10,0,50,0,16,0,11,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.ZkRetryRunnable,27,0,2,0,9,0,3,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooWorker,183,0,28,0,49,0,21,0,7,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ExponentialBackOffWithDeadlinePolicy,161,0,8,0,19,0,8,0,4,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.8.new AsyncCallback.VoidCallback() {...},36,0,2,0,6,0,3,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooKeeperClient.ZkRetryRunnable() {...},75,0,2,0,8,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooKeeperClient.ZkRetryRunnable() {...},74,0,2,0,8,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooWorker.ZooCallable() {...},52,0,2,0,6,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooWorker.ZooCallable() {...},51,0,2,0,6,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooKeeperClient.ZkRetryRunnable() {...},74,0,2,0,8,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooWorker.ZooCallable() {...},59,0,2,0,6,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooWorker.ZooCallable() {...},58,0,2,0,6,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.26.new AsyncCallback.Children2Callback() {...},38,0,2,0,6,0,3,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooKeeperClient.ZkRetryRunnable() {...},75,0,2,0,8,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooWorker.ZooCallable() {...},53,0,2,0,7,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooKeeperClient.ZkRetryRunnable() {...},93,0,2,0,8,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooKeeperClient.ZkRetryRunnable() {...},54,0,2,0,8,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooWorker.ZooCallable() {...},51,0,2,0,6,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooKeeperClient.ZkRetryRunnable() {...},75,0,2,0,8,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooWorker.ZooCallable() {...},31,0,2,0,6,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooKeeperClient.ZkRetryRunnable() {...},74,0,2,0,8,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooKeeperClient.ZkRetryRunnable() {...},74,0,2,0,8,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooWorker.ZooCallable() {...},51,0,2,0,6,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooWorker.ZooCallable() {...},59,0,2,0,6,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooKeeperClient.ZkRetryRunnable() {...},74,0,2,0,8,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new Callable() {...},33,0,0,0,7,0,2,0,2,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooWorker.ZooCallable() {...},52,0,2,0,6,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooKeeperClient.ZkRetryRunnable() {...},87,0,2,0,8,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooWorker.ZooCallable() {...},64,0,2,0,6,0,4,0,3,0
Apache BookKeeper :: Server,org.apache.bookkeeper.zookeeper,ZooKeeperClient.new ZooWorker.ZooCallable() {...},70,0,2,0,6,0,4,0,3,0
